,,Start or Timeframe,,,End,,,,,,,,This1,This2,This3
Era Digest: Golden Century,10,2891,,,,,,Victoria Ward resigns as ilKhan so as not to serve longer than the Founder,,,,,,,
Scenario Pack - Sorensons Sabres,10,2893,,,2894,,,"The Draconis Combine, battling fiercely for control of the planet Skye, commits the 5th Sword of Light (among many other units) into the fray. After fierce fighting , Kurita units withdraw, the first real defeat suffered by the 5th Sword of Light.",,,,,,,
Era Digest: Golden Century,10,2897,,,,,,Clans Steel Viper and Snow Raven begin a two-year long series of Trials for control of Hellgate,,,,,,,
"Sourcebook - The Clans, Warriors of Kerensky",31,2897,,,,,,Steel Viper-Snow Raven Trials for control of Hellgate begin. The Ravens abandon the world two years later.,,,,,,,
Scenario Pack - Sorensons Sabres,10,2899,,,2907,,,"The 5th Sword of Light garrisons (in turn) Vega, Kessel, and Sakhalin, repelling an assortment of minor Steiner attacks intent on retaking those worlds.",,,,,,,
25 Years of Art & Fiction,25,2901,,,,,,Andrea Marteen dies,,,,,,,
25 Years of Art & Fiction,25,2901,,,,,,"ComStar ""Witch-Hunt"" transmission sent",,,,,,,
25 Years of Art & Fiction,25,2901,,,,,,ComStar’s Operation Winged Crusader begins,,,,,,,
25 Years of Art & Fiction,25,2901,,,,,,Court of the Star League unsealed,,,,,,,
25 Years of Art & Fiction,25,2901,,,,,,Dwight Kurstin named Primus of CS,,,,,,,
25 Years of Art & Fiction,25,2901,,,,,,First Circuit revolts and leaves Terra,,,,,,,
25 Years of Art & Fiction,25,2901,,,,,,Terra Interdicted,,,,,,,
Handbook House Liao,30,2901,,,,,,"Operating under the new principles of elastic defense, Capellan troops defeat a deep raid against Sirius. Though many of the establishment scream treason at the idea of trading space for time, Capellan military planners recognize that the CCAF has dwindled to a size incapable of defending every world at once.",,,,,,,
Handbook House Marik,43,2901,,,,,,"A Marik deep strike force codenamed Red Rover starts operations against House Liao, targeting Aldebaran, Shensi, Nanking, Buenos Aires and Zion.",,,,,,,
25 Years of Art & Fiction,25,2902,,,,,,ComStar Civil War covered up by ROM,,,,,,,
25 Years of Art & Fiction,25,2902,,,,,,Court of the Star League resealed,,,,,,,
25 Years of Art & Fiction,25,2905,,,,,,FS and CC sign Armistice of Van Diemen IV,,,,,,,
Era Digest: Golden Century,10,2905,,,,,,"The Federated Suns and the Capellan Confederation establish a cease fire, though the Third Succession War continues",,,,,,,
Handbook House Liao,41,2905,,,,,,"Otto Liao and Joseph Davion II sign the temporary Armistice of Van Diemen IV, agreeing not to attack Jumpships. All Successor States unofficially adopt this practice, as the unrelenting open warfare of the First and Second Succession Wars has all but eliminated Jumpship production facilities and the know-how to create more.",,,,,,,
"Sourcebook - The Clans, Warriors of Kerensky",31,2905,,,,,,Start of 25-year cease-fire between the FedSuns and Capellan Confederation.,,,,,,,
25 Years of Art & Fiction,25,2906,,,,,,FWL Home Defense Act passed,,,,,,,
Handbook House Marik,43,2906,,,,,,Parliament passes the Home Defense Act.,,,,,,,
"Sourcebook - The Clans, Warriors of Kerensky",31,2906,,,,,,The Free Worlds League enacts the Home Defense Act that will later hamstring League military operations.,,,,,,,
Scenario Pack - Sorensons Sabres,10,2907,,,2925,,,Lord Shinjiro Kurita succeeds Taragi Kurita. The 5th Sword of Light serves as the Kurita Household Guard.,,,,,,,
25 Years of Art & Fiction,25,2908,,,,,,LC Military Services Acts modified,,,,,,,
Handbook House Marik,43,2910,,,,,,The Red Rover strike team completes its operations.,,,,,,,
25 Years of Art & Fiction,25,2911,,,,,,DC Gray Dragons formed,,,,,,,
25 Years of Art & Fiction,25,2912,,,,,,Clan Smoke Jaguar puts down the Londerholm Revolt,,,,,,,
25 Years of Art & Fiction,25,2913,,,,,,LC Operation Freedom begins,,,,,,,
Handbook House Marik,43,2913,,,,,,FWLM forces smash the Lyran defenders on Loric before withdrawing.,,,,,,,
Handbook House Marik,43,2917,,,,,,"Elisabeth Marik dies. Her nephew Samuel, already commander in chief, takes over as Captain-General. Forces under his command capture Wing, Callison and Shiloh as well as blocking o?ensives against Stewart.",,,,,,,
25 Years of Art & Fiction,25,2920,,,,,,ComStar Periphery Communications Link begun,,,,,,,
25 Years of Art & Fiction,25,2920,,,,,,Johann O’Reilly forms Marian Hegemony,,,,,,,
Era Digest: Golden Century,10,2920,,,,,,Corian Tchernovkov of Clan Coyote is elected ilKhan to mediate rising inter-Clan disputes,,,,,,,
Handbook House Liao,41,2920,,,,,,Warrior Houses Kamata and Hiritsu form as the Imarra regiment proves its worth.,,,,,,,
25 Years of Art & Fiction,25,2921,,,,,,DC Davarapala Accords signed,,,,,,,
Era Digest: Golden Century,10,2921,,,,,,Hell’s Horses-Ghost Bear feud begins when Ghost Bear Khan Kilbourne Jorgensson is killed during the Ghost Bears’ capture of the Tokasha MechWorks,,,,,,,
"Sourcebook - The Clans, Warriors of Kerensky",31,2921,,,,,,"Coordinator Shinjiro Kurita signs the Davarapala Accords, normalizing relations between the Coordinator and the ISF.",,,,,,,
"Sourcebook - The Clans, Warriors of Kerensky",31,2921,,,,,,"Clan Ghost Bear takes control of Tokasha MechWorks from Clan Hell's Horses. Khan Kilbourne Jorgenson dies in the battle, prompting an ongoing feud between the two Clans.",,,,,,,
Scenario Pack - Sorensons Sabres,10,2925,,,2963,,,Lord Hugai Kurita succeeds Shinjiro Kurita. Elements of the 5th Sword of Light serve as the Kurita Household Guard and on garrison duty to protect the Draconis Combine's BattleMech factories.,,,,,,,
Handbook House Liao,41,2928,,,,,,Major Troi Lu Sann raises a fourth Warrior House during a lull in the fghting.,,,,,,,
Handbook House Marik,43,2928,,,,,,"League forces raid Solaris VII. In revenge, the Commonwealth raids Stewart. Hauptmann Mikhail Tertren is captured when the LCAF is repulsed. He is released after he agrees to work undercover for the Free Worlds League.",,,,,,,
Handbook House Marik,43,2929,,,,,,"With the aid of Hauptmann Tertren’s information, Marik forces take Shiloh.",,,,,,,
Era Digest: Golden Century,10,2930,,,,,,FedSuns-Capellan cease fire ends,,,,,,,
Handbook House Liao,41,2930,,,,,,"Détente between the Confederation and the Federated Suns ends when the AFFS attacks New Aragon. The Strategios scrambles to respond, but a general assault along the border limits their options.",,,,,,,
25 Years of Art & Fiction,25,2933,,,,,,ComStar Guards and Militia formed,,,,,,,
Era Digest: Golden Century,10,2933,,,,,,"ComStar formally creates the ComStar Guard and Militia (later known as Com Guard), but keeps this army secret from the rest of the Inner Sphere",,,,,,,
Handbook House Marik,43,2933,,,,,,"The ComStar Guards and Militia are formed, starting as light infantry. These forces will come to be known as the Com Guards. ROM funding is reduced to fnance the unit.",,,,,,,
"Sourcebook - The Clans, Warriors of Kerensky",31,2933,,,,,,"Formation of the ComStar Guard and Militia, later known as the Com Guard.",,,,,,,
Handbook House Marik,43,2934,,,,,,"The League attacks the Liao world of Hsien, but FWLM forces are repulsed by a determined defense.",,,,,,,
Era Digest: Golden Century,10,2935,,,,,,ilKhan Corian Tchernovkov dies in a testing accident (later determined to be sabotage). Cloud Cobra Khan Tobias Khatib is elected ilKhan. Golden Century ends,,,,,,,
"Sourcebook - The Clans, Warriors of Kerensky",31,2935,,,,,,"IlKhan Corian Tchernovkov dies in a testing ""accident.""",,,,,,,
Handbook House Marik,43,2937,,,,,,Hauptmann Tertren escapes across the FWL border after the LIC mounts a major mole-hunter operation.,,,,,,,
Handbook House Marik,43,2941,,,,,,"Free Worlds League forces occupy Ohrensen, Ventabren, Suzano, Zion and Kyrkbacken after convincing Vincente Sian-Marik (an administrator in the Sarna Commonality) to transfer his allegiance to the Free Worlds League. Capellan troops stage a brutal scorched-earth withdrawal. On the Steiner front, the FWLM employs irregular ""Liberation Units"" on Shiloh and Callison.",,,,,,,
Handbook House Liao,41,2942,,,,,,"Erica Laurel holds o? a Davion assault on Hsien long enough for Warrior House Kamata to arrive, in one of the few victories the Confederation can claim during this period.",,,,,,,
Handbook House Marik,43,2944,,,,,,Samuel Marik dies. His son Paul becomes Captain-General.,,,,,,,
"Sourcebook - The Clans, Warriors of Kerensky",31,2947,,,,,,Assassination of Primus Hollings York; ascension of Adrienne Sims.,,,,,,,
"Sourcebook - The Clans, Warriors of Kerensky",31,2947,,,,,,IlKhan Tobias Katib impeached and executed for his role in the death of IlKhan Tchernovkov.,,,,,,,
Handbook House Marik,43,2948,,,,,,Brock Marik is killed in a bombing raid on Van Diemen IV. His brother Thaddeus becomes the next Captain-General.,,,,,,,
Historical - Brush Wars,18,2948,,,,,,Thaddeus Marik becomes Captain-General.,,,,,,,
25 Years of Art & Fiction,25,2952,,,,,,Federated Suns Great Lee Turkey Shoot,,,,,,,
25 Years of Art & Fiction,25,2952,,,,,,Federated Suns Warrior’s Cabal formed,,,,,,,
Handbook House Liao,41,2952,,,,,,"A Capellan aerospace assault over Lee, dubbed Great Lee Turkey Shoot, is savagely defeated; the loss prompts a reorganization of the Confederation’s scant aerospace assets and is the driving force in the development of the new aerospace fghter that will become the Transgressor.",,,,,,,
Handbook House Marik,43,2952,,,,,,"Thaddeus Marik starts a three-pronged attack on the Lyran Commonwealth, codenamed Operation Killing Stroke. He does not have the support of Parliament. The Free Worlds League takes Cavanaugh II from the Lyran Commonwealth.",,,,,,,
25 Years of Art & Fiction,25,2955,,,,,,Some MC Elector positions become hereditary,,,,,,,
25 Years of Art & Fiction,25,2959,,,,,,Adrienne Sims begins having nightmares about an invasion from beyond the Periphery,,,,,,,
25 Years of Art & Fiction,25,2959,,,,,,ComStar Explorer Corps formed,,,,,,,
25 Years of Art & Fiction,25,2961,,,,,,First Explorer Corps ships enter the Periphery,,,,,,,
Handbook House Marik,43,2963,,,,,,Thaddeus Marik drowns. His son Stephan succeeds him.,,,,,,,
Historical - Brush Wars,18,2963,,,,,,Thaddeus drowns. Stephan Marik becomes Captain-General.,,,,,,,
Scenario Pack - Sorensons Sabres,10,2963,,,3004,,,"Lord Hohiro Kurita succeeds Hugai Kurita. The 5th Sword of Light serves on garrison duty throughout the Draconis Combine, a total of 48 planets along all fronts.",,,,,,,
25 Years of Art & Fiction,25,2964,,,,,,CC Decree of Martial Unity issued,,,,,,,
"Sourcebook - The Clans, Warriors of Kerensky",31,2965,,,,,,Clan Cloud Cobra encounters the Tanite civilization.,,,,,,,
25 Years of Art & Fiction,25,2966,,,,,,FWL Concord of Danais signed,,,,,,,
Handbook House Liao,41,2970,,,,,,"The Xieng Khouang Home Guard is massacred; Chancellor Ingrid Liao blames the Federated Suns, though no proof is ever presented.",,,,,,,
Handbook House Marik,43,2971,,,,,,The FWLM invades Loric. Elements of the Twelfth Star Guards and the Eridani Light Horse eventually force them to retreat.,,,,,,,
"Sourcebook - The Clans, Warriors of Kerensky",31,2977,,,,,,Clan Blood Spirit reinstates the position of Snow Raven iiChi and begins negotiations with that Clan. The Cloud Cobras complete their conquest of the Tanites.,,,,,,,
Handbook House Marik,43,2978,,,,,,"A Liao-based Liberation Unit under the command of Jasbinder Shafr goes rogue when the FWLM fails to pay its wages. Defecting to Liao, they play a key role in winning Wasat for the Capellan Confederation.",,,,,,,
25 Years of Art & Fiction,25,2979,,,,,,ComStar Tripitz affair,,,,,,,
25 Years of Art & Fiction,25,2979,,,,,,Operation Holy Shroud II begins,,,,,,,
"Sourcebook - The Clans, Warriors of Kerensky",31,2979,,,,,,"The Tripitz Affair occurs when Com Guard forces destroy a derelict SLDF Black Lion battlecruiser near New Vandenburg. This incident leads to the legend of the ""Vandenburg White Wings.""",,,,,,,
"Sourcebook - The Clans, Warriors of Kerensky",31,2979,,,,,,Clans Snow Raven and Blood Spirit conclude a 'Mechs-for-Warships trade deal.,,,,,,,
"Sourcebook - The Clans, Warriors of Kerensky",31,2980,,,,,,"Clan Jade Falcon calls for invasion of the Inner Sphere. They fail, but the call crystallizes the Crusader and Warden political factions.",,,,,,,
Handbook House Liao,41,2982,,,,,,"Transgressor aerospace fghter enters service, fguring strongly in the defense of Tikonov the next year and signaling a resurgence in the Capellan aerospace service. Though their numbers remain low, the Capellan pilots’ performance equals that of their Marik and Davion counterparts.",,,,,,,
"Sourcebook - The Clans, Warriors of Kerensky",31,2982,,,,,,"The ECV Fortitude and Discovery begin their 1,600 light-year journey to the Orion nebula.",,,,,,,
"Sourcebook - The Clans, Warriors of Kerensky",31,2983,,,,,,Clan Snow Raven fails in an attempt to seize Sea Fox oil fields on Priori.,,,,,,,
"Sourcebook - The Clans, Warriors of Kerensky",31,2984,,,,,,"Khan Howell of the Snow Ravens releases the genetically engineered diamond shark into the oceans of Strana Mechty. It destroys the sea fox, resulting in Clan Sea Fox's petition for the right to change their name.",,,,,,,
"Sourcebook - The Clans, Warriors of Kerensky",31,2984,,,,,,"Through Intelser, the Clans learn of the Succession Wars.",,,,,,,
25 Years of Art & Fiction,25,2985,,,,,,Clan Sea Fox becomes Clan Diamond Shark,,,,,,,
Scenario Pack - Kell Hounds,14,2986,,,,,,Morgan Kell is born.,,,,,,,
25 Years of Art & Fiction,25,2987,,,,,,LC Deep Raid of 2987,,,,,,,
Handbook House Liao,41,2987,,,,,,"The AFFS attempts six assaults on Tikonov, all of which fail thanks to a combination of stubborn defense and a steady trickle of reinforcements. The end of the fghting is a barely noted sign of the increasing exhaustion of both realms’ militaries after more than a century of steady warfare.",,,,,,,
Handbook House Marik,43,2987,,,,,,"The Commonwealth launches its infamous ""Deep Raid"" against Marik space. Lyran forces strike Ling, Park Place, Ryerson, Inan, Nathan and Bordon.",,,,,,,
House Book House Davion,71,2987,,,,,,"The AFFS begins a yearlong campaign to capture Tikonov, failing after six attempts.",,,,,,,
25 Years of Art & Fiction,25,2988,,,,,,Capellan Death Commandos formed,,,,,,,
25 Years of Art & Fiction,25,2988,,,,,,"First Circuit reorganized to include Tharkad, Atreus, Sian and New Avalon",,,,,,,
Handbook House Liao,41,2988,,,,,,"Death Commandos form, becoming the elite of the Confederation armed forces. They are comprised solely of recruits from the Warrior House orders and swear personal fealty to the Chancellor.",,,,,,,
Handbook House Marik,43,2988,,,,,,"An officer in the Orlo? Grenadiers attempts to involve Janos Marik in a conspiracy against Stephan. Janos denounces him, and the officer is imprisoned along with numerous co-conspirators. Duchess Morgaine Humphreys of Andurien is assassinated in a failed military coup.",,,,,,,
Historical - Brush Wars,18,2988,,,,,,A plot to overthrow Stephan Marik and Parliament is denounced by Janos Marik. Morgaine Humphreys is assassinated.,,,,,,,
Historical - Brush Wars,18,2988,,,,,,Catherine Humphreys becomes Duchess of Andurien.,,,,,,,
Scenario Pack - Kell Hounds,14,2988,,,,,,Patrick Kell is born.,,,,,,,
25 Years of Art & Fiction,25,2989,,,,,,DC Strike of 2989,,,,,,,
25 Years of Art & Fiction,25,2989,,,,,,FWL Special Resolution 512 passed,,,,,,,
Handbook House Liao,41,2990,,,,,,"Maximilian Liao deposes his father Tormax and assumes the Celestial Throne, using a combination of military subversion and public attitude adjustments to declare his father incompetent to rule.",,,,,,,
Handbook House Marik,43,2990,,,,,,The Sixth Defenders of Andurien smash Liao troops on Teng.,,,,,,,
Handbook House Liao,41,2991,,,,,,"Warrior Houses Dai Da Chi, Fujita, Ma-Tsu Kai and Ijori form by order of Maximilian Liao, as a means of strengthening his control over the military. The new Warrior Houses quickly make names for themselves in the near-constant raids and counter-raids that punctuate the next quarter-century.",,,,,,,
Handbook House Marik,47,2991,,,,,,FWLM forces raid Wyatt. [August] Stephan Marik dies of cancer.,,,,,,,
Historical - Brush Wars,18,2994,,,,,,Hilda Marik dies.,,,,,,,
25 Years of Art & Fiction,25,2996,,,,,,FWL Accountability Edict issued,,,,,,,
25 Years of Art & Fiction,25,2996,,,,,,FWL Logistics Act passed,,,,,,,
Handbook House Marik,47,2997,,,,,,"Free Worlds forces attack Hesperus II. They are defeated by the Fifteenth Lyran Guards, commanded by Colonel Katrina Steiner (Tenth Battle of Hesperus). The Commonwealth attacks the Marik world of Kalidasa, using three of the regiments previously guarding Hesperus II. The assault bogs down. With the Hesperus garrison under-strength, Marik sends four ‘Mech regiments to attack Hesperus II (Eleventh Battle of Hesperus). The Eridani Light Horse defeated the League advance.",,,,,,,
Handbook House Marik,47,2998,,,,,,Janos Marik marries Ana Stewart.,,,,,,,
Historical - Brush Wars,18,2998,,,,,,Janos Marik marries Ana Stewart.,,,,,,,
25 Years of Art & Fiction,25,3000,,,,,,ComStar begins extensive recruitment in the Periphery,,,,,,,
25 Years of Art & Fiction,25,3000,,,,,,Wolf’s Dragoons Compromise,,,,,,,
"Sourcebook - The Clans, Warriors of Kerensky",31,3000,,,,,,Twelfth Battle of Hesperus.,,,,,,,
25 Years of Art & Fiction,25,3001,,,,,,ComStar begins supplying Bandit Kings,,,,,,,
25 Years of Art & Fiction,25,3002,,,,,,LC Operation Concentrated Weakness begins,,,,,,,
Handbook House Marik,47,3002,,,,,,"Archon Alessandro Steiner begins his policy of ""Concentrated Weakness"" to free up more units for strikes against the Free Worlds League. The Free Worlds League attacks Loric, where Steiner defenders beat them o?. An attack on Solaris also stalls. Anton Marik becomes commander of the Capellan front and launches assaults against Menkalinan and new Canton, both of which bog down.",,,,,,,
Handbook House Marik,47,3003,,,,,,"Willis Crawford, an ally of Anton Marik and the commander of the Solaris debacle, is tried and executed for incompetence and insubordination. Maximillian Liao starts secret negotiations with Anton Marik.",,,,,,,
25 Years of Art & Fiction,25,3004,,,,,,ComStar Jolly Roger Affair takes place,,,,,,,
25 Years of Art & Fiction,25,3004,,,,,,Wolf’s Dragoons leave for the Inner Sphere,,,,,,,
Scenario Pack - Kell Hounds,14,3004,,,,,,Morgan Kell graduates from Nagelring Academy.,,,,,,,
Scenario Pack - Sorensons Sabres,10,3004,,,3026,,,Lord Takashi Kurita succeeds Hohiro Kurita. Elements of the 5th Sword of Light serve on rotating garrison duty. Their station varies from the capital Luthien to major worlds within the Galedon Military District.,,,,,,,
"Sourcebook - The Clans, Warriors of Kerensky",32,3004,,,,,,Wolf's Dragoons depart Clan space. They arrive in the Federated Suns in 3005.,,,,,,,
25 Years of Art & Fiction,25,3005,,,,,,Capellan Ministry of Development reorganized,,,,,,,
25 Years of Art & Fiction,25,3005,,,,,,Wolf’s Dragoons appear in FS,,,,,,,
Scenario Pack - Kell Hounds,14,3005,,,,,,"Morgan Kell, Arthur Luvon, and Katrina Steiner disappear from Poulsbo, pose as pirates, and seek support for Katrina to become Archon.",,,,,,,
Handbook House Marik,47,3006,,,,,,"Thomas Marik enters ComStar. House Marik launches several deep raids into the Commonwealth, exploiting the ?aws in the ""Concentrated Weakness"" strategy.",,,,,,,
Historical - Brush Wars,18,3006,,,,,,"Taking advantage of Alessandro Steiner’s strategy of ""Concentrated Weakness,"" Janos Marik launches raids deep into the Lyran Commonwealth.",,,,,,,
Handbook House Marik,47,3007,,,,,,"Cranston Snord’s Irregulars see action on Rochelle. After the campaign, Janos Marik tries to confscate the mercenaries’ ‘Mechs. The Irregulars escape and vow never to work for House Marik again.",,,,,,,
Unit Book - Wolf's Dragoons,46,3008,,,,,,"Dragoon forces raid Necromo, Tikonov, Hunan, St. Andre, and Shensi. House Liao captures New Aragon.",,,,,,,
25 Years of Art & Fiction,25,3009,,,,,,Wolf’s Dragoons return to Clan Wolf for refitting,,,,,,,
Scenario Pack - Kell Hounds,14,3009,,,,,,Patrick Kell graduates from Nagelring.,,,,,,,
25 Years of Art & Fiction,25,3010,,,,,,ComStar instigates Marik Civil War,,,,,,,
Handbook House Marik,47,3010,,,,,,"ComStar begins an operation to start a civil war in the Free Worlds League. They also plan to involve Wolf’s Dragoons so that the famed mercenary unit will be forced to make another supply run. This time, ComStar hopes to follow them home.",,,,,,,
Scenario Pack - Kell Hounds,14,3010,,,,,,"Arthur Luvon, husband of Archon Katrina Steiner and cousin of Morgan and Patrick Kell, dies and leaves a fortune to the brothers. They begin to recruit for the Kell Hounds.",,,,,,,
Unit Book - Wolf's Dragoons,46,3010,,,,,,Dragoons arrive on the Liao capitol of Sian in mid-year.,,,,,,,
Handbook House Marik,47,3011,,,,,,Ana Stewart-Marik dies.,,,,,,,
Scenario Pack - Kell Hounds,14,3011,,,,,,The Kell Hounds begin garrison duty on Tharkard.,,,,,,,
Unit Book - Wolf's Dragoons,46,3011,,,,,,"Alter months of garrison duty, the Dragoons are finally assigned to action on Wallacia In mid-March. They also participate in the defense of Furund In this year.",,,,,,,
Historical - Brush Wars,18,3012,,,,,,"Janos Marik withdraws from public after the death of his wife, Ana, and two of his children.",,,,,,,
Scenario Pack - Kell Hounds,14,3012,,,,,,"The Kell Hounds, in their first combat, join with Snord's Irregulars to defeat the Thirtieth Marik Militia on Castor. The Kell Hounds accept a contract with the Federated Suns, to last until December 3016.",,,,,,,
Scenario Pack - Kell Hounds,14,3012,,,,,,"Salome Ward graduates from Coventry Academy, receives a Wolverine BattleMech as a graduation gift, and joins the Kell Hounds.",,,,,,,
Unit Book - Wolf's Dragoons,46,3012,,,,,,Dragoons break the Marik offensive in Battle of Shiro III.,,,,,,,
Unit Book - Wolf's Dragoons,46,3013,,,,,,Hanse Davion becomes Prince of the Federated Suns alter his brother's death on Mallory's World.,,,,,,,
25 Years of Art & Fiction,25,3014,,,,,,Anton Marik begins Marik Civil War,,,,,,,
Handbook House Liao,41,3014,,,,,,"With urging from Maximilian Liao and the support of Wolf’s Dragoons, Anton Marik launches a rebellion in the Free Worlds League, but is ultimately defeated after turning on Wolf’s Dragoons. Liao’s involvement is underplayed, though Janos Marik will remain distrustful of House Liao even as he later signs the Concord of Kapteyn.",,,,,,,
Scenario Pack - Kell Hounds,14,3014,,,,,,"In fighting on Murchison, the Kell Hounds destroy a company of the Thirty-sixth Dieron Regulars. Patrick Kell meets Takara and begins an affair that lasts 13 years.",,,,,,,
Unit Book - Wolf's Dragoons,46,3014,,,,,,Jaime Wolf attends a meeting on Terra with Maximillian Liao and Anton Marik. Liao and Wolf agree that the Dragoons will assist Anton in his attempt to depose his brother Janos.,,,,,,,
Unit Book - Wolf's Dragoons,46,3014,,,,,,"Jaime Wolf decides to create a unit to give Dragoon misfits a chance to rehabilitate.  He assigned Natasha Kerensky as their leader, and the Black Widow Company is born.",,,,,,,
Unit Book - Wolf's Dragoons,46,3014,,,,,,"Fighting for the Usurper, the Dragoons see action on Nova Roma, Emris IV, Vanra,  New Delos, and Sophie's World. With the fall of Calloway VI late in the year, Anton senses that his rebellion is doomed.",,,,,,,
25 Years of Art & Fiction,25,3015,,,,,,Marik Civil War ends,,,,,,,
25 Years of Art & Fiction,25,3015,,,,,,New Avalon Institute of Science created,,,,,,,
Handbook House Marik,47,3015,,,,,,"Anton Marik orders Jaime Wolf to disperse the Dragoons among his troops. Wolf refuses. [February] Anton’s forces are pushed into a small cluster of worlds around Ling. [8 March] Anton Marik arrests Joshua Wolf and 27 other members of the Dragoons for treason. They are later executed. Among those killed are Jaime Wolf’s wife and two daughters. [22 March] Wolf’s Dragoons descend on New Delos, led by the Black Widows. Anton Marik is killed and his troops annihilated. The rebellion ends. House Marik employs Wolf’s Dragoons. [April-October] Free Worlds League courts try and punish the rebels. Many rebel leaders are imprisoned; some, including Janos’ son Gerald, are executed.",,,,,,,
Scenario Pack - Kell Hounds,14,3015,,,,,,"Daniel Allard, son of Quintus Allard, graduates from New Avalon Military Academy.",,,,,,,
Unit Book - Wolf's Dragoons,46,3015,,,,,,"With the threat to his power ended, Janos Marik signs the Dragoons on to work for him.",,,,,,,
Scenario Pack - Kell Hounds,14,3016,,,,,,"Daniel Allard joins the Kell Hounds. As the Second Sword of Light threatens to destroy the Kell Hounds, Yorinaga Kurita and Morgan Kell face each other in individual combat that is marked by a mystical experience. Both go into exile, with Morgan Kell reducing the Kell Hounds Regiment to a battalion before leaving the unit. After early release from the Federated Suns contract, the Kell Hounds enter a three-year contract with the Free Worlds League to hunt down Periphery pirates.",,,,,,,
Handbook House Marik,47,3017,,,,,,"Marik forces raid Clinton, home base of Cranston Snord’s Irregulars. The Irregulars are not there, but the Marik troops take all the Irregulars’ ""collectibles"" with them.",,,,,,,
Scenario Pack - Kell Hounds,14,3017,,,,,,The Kell Hounds defend Tematagi against pirates. The battalion also outsmarts two pirate bands that launched simultaneous attacks on two other worlds.,,,,,,,
Handbook House Marik,47,3018,,,,,,"Cranston Snord’s Irregulars embark on a deep penetration raid of Marik space to recover their museum collection. The assault comes to be called the ""Junk Yard Dog A?air.""",,,,,,,
25 Years of Art & Fiction,25,3019,,,,,,Wolf’s Dragoons return to Clan Wolf again for refitting,,,,,,,
Handbook House Marik,47,3019,,,,,,"Wolf’s Dragoons, working for the Free Worlds League, raid Hesperus II (Thirteenth Battle of Hesperus). They come within miles of their objective before being forced to retreat. Soon afterward, they embark on another deep-space supply run.",,,,,,,
Scenario Pack - Kell Hounds,14,3019,,,,,,The Kell Hounds' contract with the Free Worlds League expires. Both the Federated Suns and the Lyran Commonwealth bid for their services.,,,,,,,
Unit Book - Wolf's Dragoons,46,3019,,,,,,"Janos assigns the Dragoons to spearhead a raid on the BattleMech factories of Hesperus II. Making their way there, the Dragoons raid Gienah, Launam, Fianna, Sarpsborg, and Lamon.",,,,,,,
Unit Book - Wolf's Dragoons,46,3019,,,,,,"After a valiant effort that nearly succeeds, the Dragoons are forced to withdraw from Hesperus, leaving the factories as impregnable as ever.",,,,,,,
Unit Book - Wolf's Dragoons,46,3019,,,,,,"Late in the year, the Dragoons stage another deep-space supply run into the Periphery.",,,,,,,
25 Years of Art & Fiction,25,3020,,,,,,OA Educational Exchange Program begins,,,,,,,
Handbook House Marik,47,3020,,,,,,Katrina Steiner issues her famous Peace Proposal to the leaders of the other four Houses. None but Hanse Davion take her seriously. Secret negotiations begin between Houses Steiner and Davion.,,,,,,,
Historical - Fedcom Civil War,11,3020,,,,,,"Archon Katrina Steiner issues her ""Peace Proposal"" to the leaders of the other Houses; only First Prince Hanse Davion responds with interest",,,,,,,
House Book House Davion,71,3020,,,,,,"Archon Katrina Steiner forwards her Peace Proposal to each of the Successor Lords; only First Prince Hanse Davion responds favorably, beginning two years of secret talks.",,,,,,,
Scenario Pack - Kell Hounds,14,3020,,,,,,"The Kell Hounds begin a three-year stint defending the Commonwealth border against the Combine, during which they salvage a Kurita Dropship and rename it the Manannan MacLir.",,,,,,,
Unit Book - Wolf's Dragoons,46,3020,,,,,,"Early In the year, the Dragoons return to Marik space resupplied with 'Mechs and materiel.",,,,,,,
Unit Book - Wolf's Dragoons,47,3020,,,,,,Jaime Wolf accepts Katrina Steiner's offer of employment.,,,,,,,
Unit Book - Wolf's Dragoons,47,3020,,,,,,Archon Katrina Steiner makes peace initiative to other Inner Sphere House lords.,,,,,,,
Unit Book - Wolf's Dragoons,47,3020,,,,,,"While the Dragoons await assignment. Colonel Sarah ""The Ghost"" Weisz retires as Delta Regiment commander, replaced by Colonel Kathleen Dumont.",,,,,,,
Unit Book - Wolf's Dragoons,47,3020,,,,,,"Late in the year, the Black Widows are assigned to raid New Wessex, where the famous Battle of Harlow's Wood takes place.",,,,,,,
25 Years of Art & Fiction,25,3022,,,,,,Concord of Kapteyn signed,,,,,,,
25 Years of Art & Fiction,25,3022,,,,,,Federated-Commonwealth Alliance Document signed,,,,,,,
25 Years of Art & Fiction,25,3022,,,,,,McCarron’s War begins,,,,,,,
Handbook House Liao,41,3022,,,3025,,,"McCarron’s Armored Cavalry embarks on three years of raids into Federated Suns space in retaliation for a damaging series of raids conducted by the AFFS between 3015 and 3020. The raids are a smashing success, drawing the attention of the AFFS throughout the Capellan March for three years. The CCAF takes the time to reft and attempt to rest, though they do not quite reach active status again before the end of hostilities.",,,,,,,
Unit Book - Wolf's Dragoons,47,3022,,,,,,The Draconis Combine loses three planets each to the Federated Suns and the Lyran Commonwealth. Takashi Kurita vows to pay them back.,,,,,,,
